customerID,loanId,appilcationDate,LoanNumber,LoanAmount,InterestRate,TermDays,repaymentDueDate,repaymentPaidDate
769336627,3.02961E+11,24-12-18,1,11000,27,45,07-02-19,15-01-19
635877349,3.02952E+11,21-12-18,1,11000,27,45,04-02-19,14-01-19
931044720,3.0294E+11,18-12-18,1,11000,27,45,01-02-19,14-01-19
22592236,3.02944E+11,19-12-18,1,11000,27,45,02-02-19,24-12-18
40007463,3.02932E+11,16-12-18,1,11000,27,45,30-01-19,22-12-18
162160911,3.02946E+11,20-12-18,1,11000,27,45,03-02-19,02-01-19
940783684,3.02931E+11,15-12-18,1,11000,27,45,29-01-19,12-01-19
937397087,3.02921E+11,13-12-18,1,11000,27,45,27-01-19,16-01-19
545358839,3.02985E+11,31-12-18,1,11000,27,45,14-02-19,11-01-19
812336627,3.02944E+11,19-12-18,1,11000,27,45,02-02-19,24-12-18
461816834,3.02958E+11,22-12-18,1,11000,27,45,05-02-19,13-01-19
759510502,3.02968E+11,26-12-18,1,11000,27,45,09-02-19,14-01-19
156649529,3.02918E+11,12-12-18,1,11000,27,45,26-01-19,17-01-19
226927764,3.02941E+11,18-12-18,1,15000,18,45,01-02-19,15-01-19
60618946,3.02966E+11,25-12-18,1,15000,18,45,08-02-19,04-01-19
108707573,3.02958E+11,23-12-18,1,15000,18,45,06-02-19,05-01-19
730490580,3.02955E+11,22-12-18,1,15000,18,45,05-02-19,23-12-18
733776995,3.02944E+11,19-12-18,2,18500,20,60,18-02-19,16-01-19
72761825,3.0298E+11,29-12-18,3,12500,20,30,28-01-19,17-01-19
794766162,3.03004E+11,04-01-19,3,12500,20,30,03-02-19,15-01-19
193319710,3.02954E+11,21-12-18,6,12500,20,30,20-01-19,24-12-18
307819843,3.02948E+11,20-12-18,3,12500,20,30,19-01-19,17-01-19
200263974,3.02975E+11,28-12-18,3,12500,20,30,27-01-19,09-01-19
569563950,3.02973E+11,27-12-18,3,12500,20,30,26-01-19,10-01-19
186677489,3.02946E+11,20-12-18,2,12500,20,30,19-01-19,16-01-19
403325960,3.02996E+11,03-01-19,3,12500,20,30,02-02-19,07-01-19
290362283,3.02942E+11,19-12-18,2,12500,20,30,18-01-19,21-12-18
423423880,3.02962E+11,24-12-18,7,20000,10,90,23-03-19,11-01-19
295216252,3.02984E+11,30-12-18,1,40500,12,120,30-04-19,04-01-19
188795955,3.02946E+11,20-12-18,2,30000,12.5,60,19-02-19,09-01-19
727837791,3.03024E+11,09-01-19,1,4000,30,30,08-02-19,11-01-19
145235052,3.03012E+11,06-01-19,4,8000,30,30,05-02-19,10-01-19
649576465,3.02966E+11,25-12-18,3,20000,20,60,24-02-19,08-01-19
957474880,3.02942E+11,19-12-18,3,20000,20,60,18-02-19,15-01-19
537580961,3.02956E+11,22-12-18,8,20000,20,60,21-02-19,17-01-19
119364125,3.02945E+11,19-12-18,2,20000,20,60,18-02-19,24-12-18
318590971,3.02972E+11,27-12-18,2,20000,20,60,26-02-19,15-01-19
263540349,3.02947E+11,20-12-18,2,20000,20,60,19-02-19,11-01-19
906107584,3.0296E+11,23-12-18,2,20000,20,60,22-02-19,14-01-19
867496972,3.03017E+11,08-01-19,2,20000,20,60,07-03-19,15-01-19
455212344,3.02961E+11,24-12-18,2,20000,20,60,23-02-19,28-12-18
958579308,3.03005E+11,04-01-19,2,20000,20,60,03-03-19,15-01-19
281227350,3.02945E+11,19-12-18,3,20000,20,60,18-02-19,15-01-19
84724483,3.03005E+11,05-01-19,2,20000,20,60,04-03-19,14-01-19
642676140,3.02919E+11,12-12-18,1,7000,27,45,26-01-19,24-12-18
214370444,3.02916E+11,12-12-18,1,7000,27,45,26-01-19,23-12-18
346380366,3.0293E+11,15-12-18,1,7000,27,45,29-01-19,17-01-19
835006351,3.0292E+11,13-12-18,1,7000,27,45,27-01-19,13-01-19
352015539,3.02964E+11,24-12-18,1,7000,27,45,07-02-19,15-01-19
909250151,3.03043E+11,15-01-19,3,5000,30,30,14-02-19,17-01-19
251292580,3.03027E+11,10-01-19,1,5000,30,30,09-02-19,13-01-19
70384745,3.02967E+11,25-12-18,1,10000,30,30,24-01-19,05-01-19
18430169,3.02965E+11,25-12-18,4,20000,15,60,24-02-19,11-01-19
417120772,3.02945E+11,19-12-18,18,30000,10,90,18-03-19,17-01-19
916630700,3.02955E+11,22-12-18,1,10000,30,30,21-01-19,06-01-19
640388539,3.02954E+11,21-12-18,1,10000,30,30,20-01-19,27-12-18
926353051,3.02986E+11,31-12-18,1,10000,30,30,30-01-19,12-01-19
779437911,3.02948E+11,20-12-18,1,10000,30,30,19-01-19,13-01-19
584254634,3.02999E+11,03-01-19,1,10000,30,30,02-02-19,11-01-19
561577441,3.02964E+11,24-12-18,1,10000,30,30,23-01-19,15-01-19
290120121,3.02942E+11,19-12-18,1,10000,30,30,18-01-19,15-01-19
677671086,3.02957E+11,22-12-18,3,10000,30,30,21-01-19,05-01-19
131274940,3.02945E+11,19-12-18,2,10000,30,30,18-01-19,09-01-19
254782785,3.03013E+11,07-01-19,2,10000,30,30,06-02-19,14-01-19
319084996,3.02959E+11,23-12-18,3,20000,15,60,22-02-19,16-01-19
422110109,3.02951E+11,21-12-18,2,10000,30,30,20-01-19,07-01-19
321548764,3.02972E+11,27-12-18,2,10000,30,30,26-01-19,04-01-19
625388830,3.02992E+11,02-01-19,2,10000,30,30,01-02-19,16-01-19
344366145,3.02944E+11,19-12-18,1,10000,30,30,18-01-19,24-12-18
50592939,3.02951E+11,21-12-18,2,10000,30,30,20-01-19,30-12-18
81878017,3.02972E+11,27-12-18,1,10000,30,30,26-01-19,14-01-19
354429842,3.02951E+11,21-12-18,1,10000,30,30,20-01-19,13-01-19
648942156,3.02944E+11,19-12-18,1,10000,30,30,18-01-19,15-01-19
806081871,3.0297E+11,27-12-18,7,10000,30,30,26-01-19,03-01-19
661195670,3.02994E+11,02-01-19,3,20000,15,60,01-03-19,16-01-19
166058507,3.02913E+11,11-12-18,1,10000,19.8,45,25-01-19,12-12-18
776397123,3.02963E+11,24-12-18,3,12000,20,60,23-02-19,26-12-18
811563814,3.0298E+11,29-12-18,5,7000,20,30,28-01-19,29-12-18
995292034,3.02966E+11,25-12-18,7,7000,20,30,24-01-19,02-01-19
496961867,3.02967E+11,25-12-18,6,7000,20,30,24-01-19,14-01-19
391695557,3.03039E+11,13-01-19,6,7000,20,30,12-02-19,14-01-19
401635385,3.02976E+11,28-12-18,7,7000,20,30,27-01-19,15-01-19
990270292,3.02981E+11,29-12-18,3,7000,20,30,28-01-19,04-01-19
854297585,3.02971E+11,27-12-18,6,30000,7.5,90,26-03-19,15-01-19
147167048,3.03012E+11,07-01-19,3,30000,12.5,60,06-03-19,12-01-19
949432867,3.02955E+11,22-12-18,24,83000,10,60,21-02-19,15-01-19
332107062,3.03008E+11,05-01-19,3,10000,20,30,04-02-19,14-01-19
547605847,3.02971E+11,27-12-18,2,10000,20,30,26-01-19,28-12-18
701138556,3.02952E+11,21-12-18,3,10000,20,30,20-01-19,27-12-18
747647878,3.02966E+11,25-12-18,3,10000,20,30,24-01-19,31-12-18
97535574,3.03022E+11,09-01-19,5,40000,10,60,08-03-19,17-01-19
181540554,3.02998E+11,03-01-19,5,3500,15,15,18-01-19,15-01-19
576922217,3.02998E+11,03-01-19,1,7000,15,15,18-01-19,11-01-19
861534190,3.02987E+11,31-12-18,13,7000,15,30,30-01-19,17-01-19
227290357,3.03002E+11,04-01-19,1,7000,15,15,19-01-19,09-01-19
133444346,3.03022E+11,09-01-19,4,7000,15,15,24-01-19,11-01-19
668930493,3.02963E+11,24-12-18,6,14000,15,30,23-01-19,24-12-18
460287568,3.02948E+11,20-12-18,1,10000,20.1,30,19-01-19,17-01-19
672209505,3.02995E+11,03-01-19,3,10000,15,15,18-01-19,11-01-19
715171135,3.02999E+11,03-01-19,2,10000,15,15,18-01-19,17-01-19
688797331,3.02952E+11,21-12-18,7,26500,10,90,20-03-19,13-01-19
484774356,3.02943E+11,19-12-18,3,10000,15,30,18-01-19,26-12-18
720838133,3.03004E+11,04-01-19,1,10000,15,15,19-01-19,14-01-19
595528374,3.03037E+11,13-01-19,1,10000,15,15,28-01-19,17-01-19
793634840,3.03001E+11,04-01-19,12,10000,15,15,19-01-19,06-01-19
82245705,3.02971E+11,27-12-18,7,10000,15,30,26-01-19,11-01-19
161632181,3.02998E+11,03-01-19,4,10000,15,15,18-01-19,06-01-19
22717537,3.02986E+11,31-12-18,8,10000,15,30,30-01-19,01-01-19
19523239,3.03001E+11,04-01-19,1,10000,15,15,19-01-19,17-01-19
822390534,3.03019E+11,08-01-19,1,10000,15,15,23-01-19,16-01-19
883996485,3.03032E+11,11-01-19,1,3000,30,30,10-02-19,15-01-19
970677277,3.03042E+11,14-01-19,1,3000,30,30,13-02-19,16-01-19
378980845,3.03042E+11,14-01-19,1,3000,30,30,13-02-19,15-01-19
417069224,3.03036E+11,13-01-19,1,3000,30,30,12-02-19,15-01-19
434522807,3.03021E+11,09-01-19,1,3000,30,30,08-02-19,11-01-19
296350216,3.03014E+11,07-01-19,1,3000,30,30,06-02-19,11-01-19
408359459,3.03004E+11,04-01-19,7,24000,15,60,03-03-19,11-01-19
134255479,3.03004E+11,04-01-19,1,12000,15,60,03-03-19,08-01-19
677904715,3.02957E+11,22-12-18,6,13000,20,30,21-01-19,26-12-18
768252741,3.02989E+11,01-01-19,5,13000,20,30,31-01-19,10-01-19
407771100,3.02958E+11,23-12-18,20,48000,15,60,22-02-19,15-01-19
645717943,3.02951E+11,21-12-18,3,15000,20,60,20-02-19,16-01-19
605986758,3.03017E+11,08-01-19,3,44500,5,180,07-07-19,11-01-19
14359574,3.02942E+11,19-12-18,3,16000,12.5,60,18-02-19,17-01-19
27395171,PP2946169406,20-12-18,1,50000,6,90,19-03-19,25-12-18
659614068,3.02952E+11,21-12-18,5,49500,7.5,180,20-06-19,05-01-19
130582517,3.02974E+11,28-12-18,5,20000,12.5,90,27-03-19,29-12-18
163381010,3.02992E+11,02-01-19,4,32000,12.5,60,01-03-19,04-01-19
223606592,3.03007E+11,05-01-19,6,34500,12.5,90,04-04-19,11-01-19
525678519,3.03051E+11,16-01-19,2,5000,36,45,02-03-19,16-01-19
306448020,3.02949E+11,20-12-18,1,10000,36,45,03-02-19,24-12-18
338743564,3.02986E+11,31-12-18,1,10000,36,45,14-02-19,05-01-19
877725281,3.02986E+11,31-12-18,1,10000,36,45,14-02-19,16-01-19
974145900,3.02933E+11,16-12-18,1,10000,36,45,30-01-19,24-12-18
703939569,3.02956E+11,22-12-18,1,10000,36,45,05-02-19,07-01-19
106231838,3.02929E+11,15-12-18,1,10000,36,45,29-01-19,20-12-18
482349166,3.02945E+11,19-12-18,1,10000,36,45,02-02-19,11-01-19
831501996,3.02928E+11,14-12-18,1,10000,36,45,28-01-19,14-01-19
173242934,3.02957E+11,22-12-18,1,10000,36,45,05-02-19,17-01-19
485631936,3.03034E+11,12-01-19,1,10000,36,45,26-02-19,16-01-19
414875904,3.02985E+11,31-12-18,1,10000,36,45,14-02-19,03-01-19
922297391,3.03028E+11,10-01-19,1,10000,36,45,24-02-19,11-01-19
865199829,3.02926E+11,14-12-18,1,10000,36,45,28-01-19,28-12-18
41278018,3.02952E+11,21-12-18,1,10000,36,45,04-02-19,28-12-18
312081117,3.02966E+11,25-12-18,1,10000,36,45,08-02-19,28-12-18
856309722,3.02918E+11,12-12-18,1,10000,36,45,26-01-19,03-01-19
289931975,3.02927E+11,14-12-18,1,10000,36,45,28-01-19,10-01-19
20230294,3.02922E+11,13-12-18,1,10000,36,45,27-01-19,08-01-19
68717588,3.02962E+11,24-12-18,12,7500,20,30,23-01-19,16-01-19
741491337,3.02956E+11,22-12-18,5,33000,12.5,90,21-03-19,12-01-19
61340158,3.02963E+11,24-12-18,2,30000,10,60,23-02-19,08-01-19
630284783,3.02972E+11,27-12-18,4,30000,10,60,26-02-19,08-01-19
980496924,3.0296E+11,23-12-18,4,30000,10,60,22-02-19,02-01-19
679771050,3.02991E+11,01-01-19,3,30000,10,60,28-02-19,17-01-19
811187399,3.03025E+11,10-01-19,2,30000,10,60,09-03-19,12-01-19
336652624,3.02995E+11,02-01-19,5,17000,15,60,02-03-19,05-01-19
509179217,PP2974226046,28-12-18,2,25500,6,90,27-03-19,06-01-19
649648748,3.02941E+11,18-12-18,1,7000,36,45,01-02-19,18-12-18
616511010,3.02948E+11,20-12-18,3,10500,20,30,19-01-19,15-01-19
737467943,3.0295E+11,21-12-18,1,30000,12,120,20-04-19,15-01-19
328354884,3.03002E+11,04-01-19,1,11000,15,15,19-01-19,16-01-19
198578303,3.02965E+11,25-12-18,3,25000,15,60,24-02-19,07-01-19
215022887,3.02943E+11,19-12-18,3,25000,15,60,18-02-19,15-01-19
177536254,3.0296E+11,23-12-18,3,25000,15,60,22-02-19,31-12-18
598198156,3.0299E+11,01-01-19,3,25000,15,60,28-02-19,05-01-19
936409283,3.02985E+11,31-12-18,4,25000,15,60,28-02-19,11-01-19
543523984,3.02967E+11,25-12-18,3,25000,15,60,24-02-19,08-01-19
261685411,3.02956E+11,22-12-18,5,150000,5,180,21-06-19,16-01-19
906599572,3.02942E+11,19-12-18,10,100000,5,180,18-06-19,10-01-19
530073424,3.02963E+11,24-12-18,3,7000,12.5,30,23-01-19,29-12-18
295549944,3.0295E+11,20-12-18,1,7000,30,30,19-01-19,29-12-18
758557738,3.02964E+11,24-12-18,4,56000,5,180,23-06-19,10-01-19
800489714,3.02962E+11,24-12-18,4,45000,10,90,23-03-19,16-01-19
184038584,3.0291E+11,11-12-18,1,10000,27,45,25-01-19,12-12-18
34723065,3.02943E+11,19-12-18,1,10000,27,45,02-02-19,20-12-18
891480762,3.02965E+11,25-12-18,1,10000,27,45,08-02-19,15-01-19
453703877,3.02906E+11,10-12-18,1,10000,27,45,24-01-19,14-12-18
132358584,3.02908E+11,10-12-18,1,10000,27,45,24-01-19,14-01-19
36932800,3.02972E+11,27-12-18,1,10000,27,45,10-02-19,13-01-19
19635549,3.02918E+11,12-12-18,1,10000,27,45,26-01-19,03-01-19
368195153,3.02914E+11,11-12-18,1,10000,27,45,25-01-19,18-12-18
602866956,3.02905E+11,10-12-18,1,10000,27,45,24-01-19,05-01-19
388018898,3.02965E+11,25-12-18,1,10000,27,45,08-02-19,30-12-18
224537432,3.02966E+11,25-12-18,14,61000,7.5,180,24-06-19,09-01-19
208599886,3.02981E+11,29-12-18,11,29000,20,60,28-02-19,09-01-19
779876788,3.02942E+11,19-12-18,11,18000,15,60,18-02-19,28-12-18
950972965,3.02982E+11,30-12-18,4,30000,12.5,90,29-03-19,17-01-19
205562758,3.02963E+11,24-12-18,2,30000,12.5,90,23-03-19,11-01-19
507499474,3.02943E+11,19-12-18,4,22000,12.5,60,18-02-19,17-01-19
398912118,3.02986E+11,31-12-18,4,30000,12.5,90,30-03-19,09-01-19
299340420,3.0297E+11,26-12-18,4,22000,15,60,25-02-19,15-01-19
384319885,3.02913E+11,11-12-18,1,9000,36,45,25-01-19,26-12-18
480020599,3.02914E+11,11-12-18,1,9000,36,45,25-01-19,10-01-19
809955622,3.02915E+11,12-12-18,1,9000,36,45,26-01-19,09-01-19
82418937,3.02983E+11,30-12-18,1,40000,12,120,29-04-19,17-01-19
862529106,3.03042E+11,14-01-19,3,18000,36,45,28-02-19,15-01-19
116521381,3.03032E+11,11-01-19,2,18000,36,45,25-02-19,16-01-19
804242944,3.02945E+11,19-12-18,5,8500,20,30,18-01-19,02-01-19
674284310,3.02949E+11,20-12-18,1,30000,9,120,19-04-19,23-12-18
407415399,3.02986E+11,31-12-18,26,34000,10,60,28-02-19,12-01-19
105408921,3.02953E+11,21-12-18,4,60000,7.5,90,20-03-19,17-01-19
478116134,3.02987E+11,31-12-18,6,66000,5,180,30-06-19,03-01-19
844074311,3.02949E+11,20-12-18,8,22000,15,60,19-02-19,16-01-19
150910550,3.02955E+11,22-12-18,2,22000,15,60,21-02-19,03-01-19
218427265,3.02948E+11,20-12-18,2,22000,15,60,19-02-19,15-01-19
910404278,3.02972E+11,27-12-18,3,22000,15,60,26-02-19,13-01-19
863358949,3.02947E+11,20-12-18,2,22000,15,60,19-02-19,22-12-18
350140551,3.02972E+11,27-12-18,2,22000,15,60,26-02-19,17-01-19
690719300,3.02963E+11,24-12-18,2,22000,15,60,23-02-19,11-01-19
379664155,3.0299E+11,01-01-19,2,22000,15,60,28-02-19,17-01-19
766720830,3.02982E+11,30-12-18,2,22000,15,60,28-02-19,14-01-19
949476279,3.02971E+11,27-12-18,2,22000,15,60,26-02-19,28-12-18
261127873,3.03053E+11,16-01-19,3,1500,15,15,31-01-19,16-01-19
668537292,3.03052E+11,16-01-19,1,1500,15,15,31-01-19,17-01-19
205732484,3.03052E+11,16-01-19,3,1500,15,15,31-01-19,16-01-19
398915765,3.03033E+11,12-01-19,1,3000,15,15,27-01-19,12-01-19
119992550,3.03049E+11,15-01-19,2,3000,15,15,30-01-19,17-01-19
540480049,3.03042E+11,14-01-19,2,3000,15,15,29-01-19,15-01-19
93302124,3.03052E+11,16-01-19,2,3000,15,15,31-01-19,17-01-19
639945193,3.0305E+11,15-01-19,2,3000,15,15,30-01-19,16-01-19
251240059,3.03017E+11,08-01-19,1,3000,15,15,23-01-19,13-01-19
347322052,3.03025E+11,10-01-19,1,3000,15,15,25-01-19,10-01-19
299189128,3.03028E+11,10-01-19,1,3000,15,15,25-01-19,14-01-19
806049100,3.03041E+11,14-01-19,2,3000,15,15,29-01-19,16-01-19
28172409,3.03043E+11,14-01-19,2,3000,15,15,30-01-19,16-01-19
848058684,3.03045E+11,15-01-19,2,3000,15,15,30-01-19,17-01-19
330339394,3.02999E+11,04-01-19,5,12000,15,30,03-02-19,11-01-19
756434895,3.0305E+11,15-01-19,1,2000,15,15,30-01-19,17-01-19
887089982,3.03019E+11,08-01-19,1,4000,15,15,23-01-19,16-01-19
89568666,3.03029E+11,11-01-19,7,4000,15,15,26-01-19,12-01-19
839538130,3.03004E+11,04-01-19,6,4000,15,15,19-01-19,16-01-19
831244758,3.02967E+11,25-12-18,3,16000,15,30,24-01-19,17-01-19
883846343,3.02966E+11,25-12-18,17,10000,12.5,30,24-01-19,25-12-18
986396048,3.03047E+11,15-01-19,9,10000,12.5,30,14-02-19,15-01-19
159789592,3.0297E+11,26-12-18,2,20000,12.5,30,25-01-19,04-01-19
87890191,3.0296E+11,23-12-18,1,10000,12.6,30,22-01-19,23-12-18
994299516,3.02952E+11,21-12-18,2,144000,7.5,180,20-06-19,14-01-19
597962950,3.02989E+11,01-01-19,4,48000,7.5,180,30-06-19,14-01-19
506446040,3.03007E+11,05-01-19,5,28500,12.5,60,04-03-19,09-01-19
462977643,3.02955E+11,22-12-18,4,30000,12.5,90,21-03-19,26-12-18
219872482,3.02948E+11,20-12-18,1,18500,20.1,60,19-02-19,16-01-19
252182066,3.02986E+11,31-12-18,1,18500,20.1,60,28-02-19,17-01-19
734843109,3.03006E+11,05-01-19,1,21000,9.9,90,04-04-19,09-01-19
499502826,3.02966E+11,25-12-18,5,14500,12.5,60,24-02-19,29-12-18
651826372,3.0297E+11,26-12-18,4,34500,12.5,90,25-03-19,27-12-18
576015623,3.02959E+11,23-12-18,4,37500,12.5,90,22-03-19,15-01-19
274516838,3.02983E+11,30-12-18,6,37500,12.5,90,29-03-19,04-01-19
720183453,3.02963E+11,24-12-18,8,59000,12.5,90,23-03-19,08-01-19
776776360,PP2951155075,21-12-18,6,62500,6,90,20-03-19,08-01-19
214980746,3.02949E+11,20-12-18,3,20500,15,60,19-02-19,12-01-19
668181902,3.02947E+11,20-12-18,2,23000,12.5,60,19-02-19,31-12-18
791833451,3.03001E+11,04-01-19,2,23000,12.5,60,03-03-19,04-01-19
580559296,3.02944E+11,19-12-18,2,23000,12.5,60,18-02-19,16-01-19
996484488,3.02944E+11,19-12-18,2,23000,12.5,60,18-02-19,04-01-19
503933726,3.02949E+11,20-12-18,2,23000,12.5,60,19-02-19,11-01-19
656701354,3.02962E+11,24-12-18,7,36000,12.5,90,23-03-19,28-12-18
270655037,3.02942E+11,19-12-18,4,45000,7.5,180,18-06-19,14-01-19
975693274,3.02991E+11,02-01-19,1,40500,12,120,02-05-19,03-01-19
53069742,3.03021E+11,09-01-19,1,40500,12,120,08-05-19,09-01-19
398717226,3.03E+11,04-01-19,1,40500,12,120,03-05-19,04-01-19
888520010,3.02959E+11,23-12-18,2,30000,12.5,60,22-02-19,11-01-19
210293202,3.02989E+11,01-01-19,5,30000,12.5,60,28-02-19,11-01-19
234846952,3.02953E+11,21-12-18,2,22000,7.5,90,20-03-19,27-12-18
560137064,3.02963E+11,24-12-18,8,9500,15,30,23-01-19,16-01-19
491729006,3.02998E+11,03-01-19,7,9500,15,30,02-02-19,15-01-19
833657567,3.02979E+11,29-12-18,2,25000,15,60,28-02-19,29-12-18
230082370,3.02946E+11,20-12-18,12,14500,15,60,19-02-19,16-01-19
999996261,3.0298E+11,29-12-18,3,14500,15,60,28-02-19,11-01-19
248270781,3.02967E+11,25-12-18,4,14500,15,60,24-02-19,16-01-19
587751420,3.02956E+11,22-12-18,2,14500,15,60,21-02-19,04-01-19
650949033,3.02962E+11,24-12-18,1,7000,20.1,30,23-01-19,10-01-19
583762681,3.02951E+11,21-12-18,2,7000,20.1,30,20-01-19,30-12-18
247393684,3.02947E+11,20-12-18,1,7000,20.1,30,19-01-19,27-12-18
776053836,3.03017E+11,08-01-19,2,15000,12.6,30,07-02-19,10-01-19
349765210,3.02974E+11,27-12-18,1,15000,12.6,30,26-01-19,10-01-19
634314287,3.02958E+11,23-12-18,2,15000,12.6,30,22-01-19,11-01-19
597962950,3.02954E+11,21-12-18,3,22000,12.5,90,20-03-19,01-01-19
97406230,3.0302E+11,08-01-19,4,45000,10,90,07-04-19,10-01-19
880573892,3.02942E+11,19-12-18,4,45000,10,90,18-03-19,16-01-19
580159581,3.03034E+11,12-01-19,2,10500,15,15,27-01-19,12-01-19
132915741,3.02943E+11,19-12-18,6,39500,10,90,18-03-19,07-01-19
965021101,3.0296E+11,23-12-18,1,11000,20.1,30,22-01-19,29-12-18
640671445,3.02993E+11,02-01-19,1,11000,20.1,30,01-02-19,17-01-19
940922740,3.02967E+11,25-12-18,1,11000,20.1,30,24-01-19,04-01-19
643625688,3.02955E+11,22-12-18,1,11000,20.1,30,21-01-19,10-01-19
518534979,3.0298E+11,29-12-18,1,11000,20.1,30,28-01-19,11-01-19
765326290,3.03003E+11,04-01-19,1,11000,20.1,30,03-02-19,08-01-19
810850343,3.03008E+11,05-01-19,1,11000,20.1,30,04-02-19,16-01-19
380878564,3.02971E+11,27-12-18,1,11000,20.1,30,26-01-19,15-01-19
712195266,3.02968E+11,26-12-18,3,11000,20.1,30,25-01-19,16-01-19
667955858,3.02955E+11,22-12-18,1,11000,20.1,30,21-01-19,02-01-19
259405196,3.02956E+11,22-12-18,1,11000,20.1,30,21-01-19,11-01-19
864875725,3.0302E+11,08-01-19,1,11000,20.1,30,07-02-19,15-01-19
518233685,3.02944E+11,19-12-18,1,11000,20.1,30,18-01-19,15-01-19
501677576,3.02952E+11,21-12-18,1,11000,20.1,30,20-01-19,12-01-19
967514375,3.02996E+11,03-01-19,1,11000,20.1,30,02-02-19,13-01-19
347033535,3.02942E+11,19-12-18,1,11500,15,30,18-01-19,03-01-19
268766947,3.02975E+11,28-12-18,2,11500,15,30,27-01-19,07-01-19
983881420,3.02962E+11,24-12-18,3,15000,15,30,23-01-19,09-01-19
585350885,3.03033E+11,12-01-19,2,15000,15,15,27-01-19,16-01-19
740686093,3.02943E+11,19-12-18,2,15000,15,30,18-01-19,29-12-18
11779914,3.02957E+11,22-12-18,2,15000,15,30,21-01-19,27-12-18
563269462,3.02962E+11,24-12-18,1,17000,12.6,90,23-03-19,24-12-18
658651954,3.02955E+11,22-12-18,11,57000,7.5,180,21-06-19,07-01-19
577187026,3.02948E+11,20-12-18,1,11500,19.8,45,03-02-19,03-01-19
79924774,3.02946E+11,20-12-18,1,11500,19.8,45,03-02-19,20-12-18
204567625,3.02971E+11,27-12-18,1,11500,19.8,45,10-02-19,10-01-19
933269719,3.02941E+11,18-12-18,1,11500,19.8,45,01-02-19,29-12-18
840847984,3.02957E+11,22-12-18,2,11500,19.8,45,05-02-19,31-12-18
81767649,3.02948E+11,20-12-18,14,27500,12.5,90,19-03-19,02-01-19
967249899,3.02982E+11,30-12-18,8,18500,7.5,90,29-03-19,09-01-19
583646050,3.02983E+11,30-12-18,4,45000,7.5,90,29-03-19,04-01-19
826732708,3.02944E+11,19-12-18,4,34500,12.5,90,18-03-19,15-01-19
639034923,3.02967E+11,25-12-18,3,34500,12.5,90,24-03-19,06-01-19
231927458,3.02945E+11,19-12-18,4,34500,12.5,90,18-03-19,17-01-19
701485745,3.02984E+11,30-12-18,3,34500,12.5,90,29-03-19,06-01-19
880859347,3.02994E+11,02-01-19,3,34500,12.5,90,01-04-19,14-01-19
204891012,3.03007E+11,05-01-19,2,47500,10,90,04-04-19,14-01-19
268445287,3.02959E+11,23-12-18,1,31000,20.1,60,22-02-19,05-01-19
